,,2000 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Vince Tobin,ARI,7,2,5,0,71,28,43,0,71,28,43,0,0,0,0,2,1,1,2,1,1,Fired after week 8
Dave McGinnis,ARI,9,1,8,0,57,17,40,0,57,17,40,0,0,0,0,0,0,0,0,0,0,Coach starting week 9
Dan Reeves,ATL,16,4,12,0,109,49,59,1,357,190,165,2,0,0,0,5,3,2,20,11,9,
Brian Billick,BAL,16,12,4,0,144,80,64,0,144,80,64,0,4,4,0,8,5,3,8,5,3,Super Bowl Champions
Wade Phillips,BUF,16,8,8,0,48,29,19,0,146,82,64,0,0,0,0,2,0,2,6,1,5,
George Seifert,CAR,16,7,9,0,48,16,32,0,176,114,62,0,0,0,0,0,0,0,15,10,5,
Dick Jauron,CHI,16,5,11,0,80,35,45,0,142,60,82,0,0,0,0,1,0,1,1,0,1,
Bruce Coslet,CIN,3,0,3,0,60,21,39,0,124,47,77,0,0,0,0,0,0,0,1,0,1,Fired after week 4
Dick LeBeau,CIN,13,4,9,0,45,12,33,0,45,12,33,0,0,0,0,0,0,0,0,0,0,Coach starting week 5
Chris Palmer,CLE,16,3,13,0,32,5,27,0,32,5,27,0,0,0,0,0,0,0,0,0,0,
Dave Campo,DAL,16,5,11,0,48,15,33,0,48,15,33,0,0,0,0,0,0,0,0,0,0,
Mike Shanahan,DEN,16,11,5,0,224,138,86,0,308,170,138,0,1,0,1,13,8,5,14,8,6,
Gary Moeller,DET,7,4,3,0,7,4,3,0,7,4,3,0,0,0,0,0,0,0,0,0,0,Coach starting week 11
Bobby Ross,DET,9,5,4,0,57,27,30,0,137,74,63,0,0,0,0,2,0,2,8,3,5,Resigned after week 10
Mike Sherman,GNB,16,9,7,0,96,57,39,0,96,57,39,0,0,0,0,6,2,4,6,2,4,
Jim Mora,IND,16,10,6,0,64,32,32,0,231,125,106,0,1,0,1,2,0,2,6,0,6,
Tom Coughlin,JAX,16,7,9,0,128,68,60,0,320,170,150,0,0,0,0,8,4,4,19,12,7,
Gunther Cunningham,KAN,16,7,9,0,32,16,16,0,32,16,16,0,0,0,0,0,0,0,0,0,0,
Dave Wannstedt,MIA,16,11,5,0,73,42,31,0,169,82,87,0,2,1,1,3,1,2,5,2,3,
Dennis Green,MIN,16,11,5,0,159,97,62,0,207,113,94,0,2,1,1,12,4,8,12,4,8,
Jim Haslett,NOR,16,10,6,0,96,45,51,0,108,47,61,0,2,1,1,2,1,1,2,1,1,
Bill Belichick,NWE,16,5,11,0,386,266,120,0,466,302,164,0,0,0,0,42,30,12,44,31,13,
Jim Fassel,NYG,16,12,4,0,112,58,53,1,112,58,53,1,3,2,1,5,2,3,5,2,3,NFC Champions
Al Groh,NYJ,16,9,7,0,16,9,7,0,16,9,7,0,0,0,0,0,0,0,0,0,0,
Jon Gruden,OAK,16,12,4,0,117,60,57,0,229,117,112,0,2,1,1,5,2,3,10,5,5,
Andy Reid,PHI,16,11,5,0,224,130,93,1,402,257,144,1,2,1,1,19,10,9,38,22,16,
Bill Cowher,PIT,16,9,7,0,240,149,90,1,240,149,90,1,0,0,0,21,12,9,21,12,9,
Mike Riley,SDG,16,1,15,0,48,14,34,0,48,14,34,0,0,0,0,0,0,0,0,0,0,
Mike Holmgren,SEA,16,6,10,0,160,86,74,0,272,161,111,0,0,0,0,10,4,6,24,13,11,
Steve Mariucci,SFO,16,6,10,0,96,57,39,0,139,72,67,0,0,0,0,7,3,4,7,3,4,
Mike Martz,STL,16,10,6,0,85,53,32,0,85,53,32,0,1,0,1,7,3,4,7,3,4,
Tony Dungy,TAM,16,10,6,0,96,54,42,0,208,139,69,0,1,0,1,6,2,4,19,9,10,
Jeff Fisher,TEN,16,13,3,0,262,142,120,0,339,173,165,1,1,0,1,11,5,6,11,5,6,
Terry Robiskie,WAS,3,1,2,0,3,1,2,0,8,2,6,0,0,0,0,0,0,0,0,0,0,Coach starting week 15
Norv Turner,WAS,13,7,6,0,109,49,59,1,237,114,122,1,0,0,0,2,1,1,8,4,4,Fired after week 14
