Tm,W▼,L,PD
Philadelphia Eagles*,13,3,162
Minnesota Vikings*,13,3,130
New Orleans Saints*,11,5,122
Carolina Panthers+,11,5,36
Los Angeles Rams*,11,5,149
Atlanta Falcons+,10,6,38
Dallas Cowboys,9,7,22
Detroit Lions,9,7,34
Seattle Seahawks,9,7,34
Arizona Cardinals,8,8,-66
Washington Redskins,7,9,-46
Green Bay Packers,7,9,-64
San Francisco 49ers,6,10,-52
Chicago Bears,5,11,-56
Tampa Bay Buccaneers,5,11,-47
New York Giants,3,13,-142
