Tm,W▼,L,T,PD
Dallas Cowboys*,12,4,0,115
Green Bay Packers*,12,4,0,138
Seattle Seahawks*,12,4,0,140
Detroit Lions+,11,5,0,39
Arizona Cardinals+,11,5,0,11
Philadelphia Eagles,10,6,0,74
San Francisco 49ers,8,8,0,-34
Minnesota Vikings,7,9,0,-18
Carolina Panthers*,7,8,1,-35
New Orleans Saints,7,9,0,-23
New York Giants,6,10,0,-20
Atlanta Falcons,6,10,0,-36
St. Louis Rams,6,10,0,-30
Chicago Bears,5,11,0,-123
Washington Redskins,4,12,0,-137
Tampa Bay Buccaneers,2,14,0,-133
