Tm,W▼,L,T,PD
Green Bay Packers*,13,3,0,63
New Orleans Saints*,13,3,0,117
San Francisco 49ers*,13,3,0,169
Seattle Seahawks+,11,5,0,7
Minnesota Vikings+,10,6,0,104
Philadelphia Eagles*,9,7,0,31
Los Angeles Rams,9,7,0,30
Dallas Cowboys,8,8,0,113
Chicago Bears,8,8,0,-18
Atlanta Falcons,7,9,0,-18
Tampa Bay Buccaneers,7,9,0,9
Carolina Panthers,5,11,0,-130
Arizona Cardinals,5,10,1,-81
New York Giants,4,12,0,-110
Washington Redskins,3,13,0,-169
Detroit Lions,3,12,1,-82
