Tm,W▼,L,PD
New England Patriots*,12,4,150
Cincinnati Bengals*,12,4,140
Denver Broncos*,12,4,59
Kansas City Chiefs+,11,5,118
New York Jets,10,6,73
Pittsburgh Steelers+,10,6,104
Houston Texans*,9,7,26
Buffalo Bills,8,8,20
Indianapolis Colts,8,8,-75
Oakland Raiders,7,9,-40
Miami Dolphins,6,10,-79
Baltimore Ravens,5,11,-73
Jacksonville Jaguars,5,11,-72
San Diego Chargers,4,12,-78
Cleveland Browns,3,13,-154
Tennessee Titans,3,13,-124
