Tm,W▼,L,T,PD
New England Patriots*,12,4,0,155
Denver Broncos*,12,4,0,128
Pittsburgh Steelers*,11,5,0,68
Indianapolis Colts*,11,5,0,89
Cincinnati Bengals+,10,5,1,21
Baltimore Ravens+,10,6,0,107
Buffalo Bills,9,7,0,54
Houston Texans,9,7,0,65
Kansas City Chiefs,9,7,0,72
San Diego Chargers,9,7,0,0
Miami Dolphins,8,8,0,15
Cleveland Browns,7,9,0,-38
New York Jets,4,12,0,-118
Jacksonville Jaguars,3,13,0,-163
Oakland Raiders,3,13,0,-199
Tennessee Titans,2,14,0,-184
