Tm,W▼,L,PD
Carolina Panthers*,15,1,192
Arizona Cardinals*,13,3,176
Minnesota Vikings*,11,5,63
Green Bay Packers+,10,6,45
Seattle Seahawks+,10,6,146
Washington Redskins*,9,7,9
Atlanta Falcons,8,8,-6
Philadelphia Eagles,7,9,-53
Detroit Lions,7,9,-42
New Orleans Saints,7,9,-68
St. Louis Rams,7,9,-50
New York Giants,6,10,-22
Chicago Bears,6,10,-62
Tampa Bay Buccaneers,6,10,-75
San Francisco 49ers,5,11,-149
Dallas Cowboys,4,12,-99
