Tm,W▼,L,PD
,,,
Philadelphia Eagles*,13,3,126
Atlanta Falcons*,11,5,3
Green Bay Packers*,10,6,44
Seattle Seahawks*,9,7,-2
Minnesota Vikings+,8,8,10
New Orleans Saints,8,8,-57
St. Louis Rams+,8,8,-73
Carolina Panthers,7,9,16
New York Giants,6,10,-44
Dallas Cowboys,6,10,-112
Washington Redskins,6,10,-25
Detroit Lions,6,10,-54
Arizona Cardinals,6,10,-38
Chicago Bears,5,11,-100
Tampa Bay Buccaneers,5,11,-3
San Francisco 49ers,2,14,-193
