Tm,W▼,L,T,PD
New Orleans Saints*,13,3,0,151
Los Angeles Rams*,13,3,0,143
Chicago Bears*,12,4,0,138
Dallas Cowboys*,10,6,0,15
Seattle Seahawks+,10,6,0,81
Philadelphia Eagles+,9,7,0,19
Minnesota Vikings,8,7,1,19
Washington Redskins,7,9,0,-78
Atlanta Falcons,7,9,0,-9
Carolina Panthers,7,9,0,-6
Green Bay Packers,6,9,1,-24
Detroit Lions,6,10,0,-36
New York Giants,5,11,0,-43
Tampa Bay Buccaneers,5,11,0,-68
San Francisco 49ers,4,12,0,-93
Arizona Cardinals,3,13,0,-200
