,,2001 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Dave McGinnis,ARI,16,7,9,0,57,17,40,0,57,17,40,0,0,0,0,0,0,0,0,0,0,
Dan Reeves,ATL,16,7,9,0,109,49,59,1,357,190,165,2,0,0,0,5,3,2,20,11,9,
Brian Billick,BAL,16,10,6,0,144,80,64,0,144,80,64,0,2,1,1,8,5,3,8,5,3,
Gregg Williams,BUF,16,3,13,0,48,17,31,0,56,22,34,0,0,0,0,0,0,0,0,0,0,
George Seifert,CAR,16,1,15,0,48,16,32,0,176,114,62,0,0,0,0,0,0,0,15,10,5,
Dick Jauron,CHI,16,13,3,0,80,35,45,0,142,60,82,0,1,0,1,1,0,1,1,0,1,
Dick LeBeau,CIN,16,6,10,0,45,12,33,0,45,12,33,0,0,0,0,0,0,0,0,0,0,
Butch Davis,CLE,16,7,9,0,59,24,35,0,59,24,35,0,0,0,0,1,0,1,1,0,1,
Dave Campo,DAL,16,5,11,0,48,15,33,0,48,15,33,0,0,0,0,0,0,0,0,0,0,
Mike Shanahan,DEN,16,8,8,0,224,138,86,0,308,170,138,0,0,0,0,13,8,5,14,8,6,
Marty Mornhinweg,DET,16,2,14,0,32,5,27,0,32,5,27,0,0,0,0,0,0,0,0,0,0,
Mike Sherman,GNB,16,12,4,0,96,57,39,0,96,57,39,0,2,1,1,6,2,4,6,2,4,
Jim Mora,IND,16,6,10,0,64,32,32,0,231,125,106,0,0,0,0,2,0,2,6,0,6,
Tom Coughlin,JAX,16,6,10,0,128,68,60,0,320,170,150,0,0,0,0,8,4,4,19,12,7,
Dick Vermeil,KAN,16,6,10,0,80,44,36,0,229,120,109,0,0,0,0,1,0,1,11,6,5,
Dave Wannstedt,MIA,16,11,5,0,73,42,31,0,169,82,87,0,1,0,1,3,1,2,5,2,3,
Mike Tice,MIN,1,0,1,0,65,32,33,0,65,32,33,0,0,0,0,2,1,1,2,1,1,
Dennis Green,MIN,15,5,10,0,159,97,62,0,207,113,94,0,0,0,0,12,4,8,12,4,8,
Jim Haslett,NOR,16,7,9,0,96,45,51,0,108,47,61,0,0,0,0,2,1,1,2,1,1,
Bill Belichick,NWE,16,11,5,0,386,266,120,0,466,302,164,0,3,3,0,42,30,12,44,31,13,Super Bowl Champions
Jim Fassel,NYG,16,7,9,0,112,58,53,1,112,58,53,1,0,0,0,5,2,3,5,2,3,
Herm Edwards,NYJ,16,10,6,0,80,39,41,0,128,54,74,0,1,0,1,5,2,3,6,2,4,
Jon Gruden,OAK,16,10,6,0,117,60,57,0,229,117,112,0,2,1,1,5,2,3,10,5,5,
Andy Reid,PHI,16,11,5,0,224,130,93,1,402,257,144,1,3,2,1,19,10,9,38,22,16,
Bill Cowher,PIT,16,13,3,0,240,149,90,1,240,149,90,1,2,1,1,21,12,9,21,12,9,
Mike Riley,SDG,16,5,11,0,48,14,34,0,48,14,34,0,0,0,0,0,0,0,0,0,0,
Mike Holmgren,SEA,16,9,7,0,160,86,74,0,272,161,111,0,0,0,0,10,4,6,24,13,11,
Steve Mariucci,SFO,16,12,4,0,96,57,39,0,139,72,67,0,1,0,1,7,3,4,7,3,4,
Mike Martz,STL,16,14,2,0,85,53,32,0,85,53,32,0,3,2,1,7,3,4,7,3,4,NFC Champions
Tony Dungy,TAM,16,9,7,0,96,54,42,0,208,139,69,0,1,0,1,6,2,4,19,9,10,
Jeff Fisher,TEN,16,7,9,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,
Marty Schottenheimer,WAS,16,8,8,0,16,8,8,0,327,200,126,1,0,0,0,0,0,0,18,5,13,
