Tm,W▼,L,PD
,,,
Chicago Bears*,13,3,172
Philadelphia Eagles*,10,6,70
New Orleans Saints*,10,6,91
Dallas Cowboys+,9,7,75
Seattle Seahawks*,9,7,-6
New York Giants+,8,8,-7
Green Bay Packers,8,8,-65
Carolina Panthers,8,8,-35
St. Louis Rams,8,8,-14
Atlanta Falcons,7,9,-36
San Francisco 49ers,7,9,-114
Minnesota Vikings,6,10,-45
Washington Redskins,5,11,-69
Arizona Cardinals,5,11,-75
Tampa Bay Buccaneers,4,12,-142
Detroit Lions,3,13,-93
