Tm,W▼,L,PD
,,,
Tennessee Titans*,13,3,155
Baltimore Ravens+,12,4,168
Oakland Raiders*,12,4,180
Miami Dolphins*,11,5,97
Denver Broncos+,11,5,116
Indianapolis Colts+,10,6,103
New York Jets,9,7,0
Pittsburgh Steelers,9,7,66
Buffalo Bills,8,8,-35
Jacksonville Jaguars,7,9,40
Kansas City Chiefs,7,9,1
Seattle Seahawks,6,10,-85
New England Patriots,5,11,-62
Cincinnati Bengals,4,12,-174
Cleveland Browns,3,13,-258
San Diego Chargers,1,15,-171
