Tm,W▼,L,PD
,,,
St. Louis Rams*,14,2,230
Chicago Bears*,13,3,135
Green Bay Packers+,12,4,124
San Francisco 49ers+,12,4,127
Philadelphia Eagles*,11,5,135
Tampa Bay Buccaneers+,9,7,44
Washington Redskins,8,8,-47
New York Giants,7,9,-27
Arizona Cardinals,7,9,-48
New Orleans Saints,7,9,-76
Atlanta Falcons,7,9,-86
Dallas Cowboys,5,11,-92
Minnesota Vikings,5,11,-100
Detroit Lions,2,14,-154
Carolina Panthers,1,15,-157
