,,2022 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Kliff Kingsbury,ARI,17,4,13,0,66,28,37,1,66,28,37,1,,,,1,0,1,1,0,1,
Arthur Smith,ATL,17,7,10,0,50,21,29,0,50,21,29,0,,,,,,,,,,
John Harbaugh,BAL,17,10,7,0,258,160,98,0,258,160,98,0,1,0,1,20,11,9,20,11,9,
Sean McDermott,BUF,16,13,3,0,113,72,41,0,113,72,41,0,2,1,1,9,4,5,9,4,5,
Steve Wilks,CAR,12,6,6,0,12,6,6,0,28,9,19,0,,,,,,,,,,Interim coach after week 5
Matt Rhule,CAR,5,1,4,0,38,11,27,0,38,11,27,0,,,,,,,,,,Fired after week 5
Matt Eberflus,CHI,17,3,14,0,33,10,23,0,33,10,23,0,,,,,,,,,,
Zac Taylor,CIN,16,12,4,0,81,36,44,1,81,36,44,1,3,2,1,7,5,2,7,5,2,
Kevin Stefanski,CLE,17,7,10,0,66,37,29,0,66,37,29,0,,,,2,1,1,2,1,1,
Mike McCarthy,DAL,17,12,5,0,66,41,25,0,270,166,102,2,2,1,1,3,1,2,21,11,10,
Nathaniel Hackett,DEN,15,4,11,0,15,4,11,0,15,4,11,0,,,,,,,,,,Fired after week 16
Jerry Rosburg,DEN,2,1,1,0,2,1,1,0,2,1,1,0,,,,,,,,,,Interim coach after week 16
Dan Campbell,DET,17,9,8,0,50,23,26,1,62,28,33,1,,,,,,,,,,
Matt LaFleur,GNB,17,8,9,0,82,55,27,0,82,55,27,0,,,,5,2,3,5,2,3,
Lovie Smith,HOU,17,3,13,1,17,3,13,1,193,92,100,1,,,,,,,6,3,3,
Frank Reich,IND,9,3,5,1,74,40,33,1,85,41,43,1,,,,3,1,2,3,1,2,Fired after week 9
Jeff Saturday,IND,8,1,7,0,8,1,7,0,8,1,7,0,,,,,,,,,,Interim coach after week 9
Doug Pederson,JAX,17,9,8,0,33,18,15,0,113,60,52,1,2,1,1,2,1,1,8,5,3,
Andy Reid,KAN,17,14,3,0,178,127,51,0,402,257,144,1,3,3,0,19,12,7,38,22,16,Super Bowl Champions
Brandon Staley,LAC,17,10,7,0,48,24,24,0,48,24,24,0,1,0,1,1,0,1,1,0,1,
Sean McVay,LAR,17,5,12,0,114,69,45,0,114,69,45,0,,,,10,7,3,10,7,3,
Josh McDaniels,LVR,17,6,11,0,25,9,16,0,53,20,33,0,,,,,,,0,0,0,
Mike McDaniel,MIA,17,9,8,0,33,20,13,0,33,20,13,0,1,0,1,1,0,1,1,0,1,
Kevin O'Connell,MIN,17,13,4,0,33,20,13,0,33,20,13,0,1,0,1,1,0,1,1,0,1,
Dennis Allen,NOR,17,7,10,0,33,15,18,0,69,23,46,0,,,,,,,0,0,0,
Bill Belichick,NWE,17,8,9,0,386,266,120,0,466,302,164,0,,,,42,30,12,44,31,13,
Brian Daboll,NYG,17,9,7,1,33,14,18,1,33,14,18,1,2,1,1,2,1,1,2,1,1,
Robert Saleh,NYJ,17,7,10,0,50,17,33,0,50,17,33,0,,,,,,,,,,
Nick Sirianni,PHI,17,14,3,0,50,34,16,0,50,34,16,0,3,2,1,4,2,2,4,2,2,NFC Champions
Mike Tomlin,PIT,17,9,8,0,274,172,100,2,274,172,100,2,,,,17,8,9,17,8,9,
Pete Carroll,SEA,17,9,8,0,226,136,89,1,290,169,120,1,1,0,1,19,10,9,22,11,11,
Kyle Shanahan,SFO,17,13,4,0,114,64,50,0,114,64,50,0,3,2,1,9,6,3,9,6,3,
Todd Bowles,TAM,17,8,9,0,33,16,17,0,100,42,58,0,1,0,1,1,0,1,1,0,1,
Mike Vrabel,TEN,17,7,10,0,98,53,45,0,98,53,45,0,,,,5,2,3,5,2,3,
Ron Rivera,WAS,17,8,8,1,66,26,39,1,206,102,102,2,,,,1,0,1,8,3,5,
