Tm,W▼,L,PD
,,,
New Orleans Saints*,13,3,169
Minnesota Vikings*,12,4,158
Dallas Cowboys*,11,5,111
Philadelphia Eagles+,11,5,92
Green Bay Packers+,11,5,164
Arizona Cardinals*,10,6,50
Atlanta Falcons,9,7,38
New York Giants,8,8,-25
Carolina Panthers,8,8,7
San Francisco 49ers,8,8,49
Chicago Bears,7,9,-48
Seattle Seahawks,5,11,-110
Washington Redskins,4,12,-70
Tampa Bay Buccaneers,3,13,-156
Detroit Lions,2,14,-232
St. Louis Rams,1,15,-261
