,,2009 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Ken Whisenhunt,ARI,16,10,6,0,96,45,51,0,119,48,71,0,2,1,1,6,4,2,6,4,2,
Mike Smith,ATL,16,9,7,0,112,66,46,0,112,66,46,0,0,0,0,5,1,4,5,1,4,
John Harbaugh,BAL,16,9,7,0,258,160,98,0,258,160,98,0,2,1,1,20,11,9,20,11,9,
Perry Fewell,BUF,7,3,4,0,7,3,4,0,11,3,8,0,0,0,0,0,0,0,0,0,0,Coach starting Week 11
Dick Jauron,BUF,9,3,6,0,57,24,33,0,142,60,82,0,0,0,0,0,0,0,1,0,1,Fired after Week 10
John Fox,CAR,16,8,8,0,144,73,71,0,256,133,123,0,0,0,0,8,5,3,15,8,7,
Lovie Smith,CHI,16,7,9,0,144,81,63,0,193,92,100,1,0,0,0,6,3,3,6,3,3,
Marvin Lewis,CIN,16,10,6,0,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,
Eric Mangini,CLE,16,5,11,0,32,10,22,0,80,33,47,0,0,0,0,0,0,0,1,0,1,
Wade Phillips,DAL,16,11,5,0,56,34,22,0,146,82,64,0,2,1,1,3,1,2,6,1,5,
Josh McDaniels,DEN,16,8,8,0,28,11,17,0,53,20,33,0,0,0,0,0,0,0,0,0,0,
Jim Schwartz,DET,16,2,14,0,80,29,51,0,80,29,51,0,0,0,0,1,0,1,1,0,1,
Mike McCarthy,GNB,16,11,5,0,204,125,77,2,270,166,102,2,1,0,1,18,10,8,21,11,10,
Gary Kubiak,HOU,16,9,7,0,125,61,64,0,157,82,75,0,0,0,0,4,2,2,7,5,2,
Jim Caldwell,IND,16,14,2,0,48,26,22,0,112,62,50,0,3,2,1,4,2,2,6,2,4,AFC Champions
Jack Del Rio,JAX,16,7,9,0,139,68,71,0,187,93,94,0,0,0,0,3,1,2,4,1,3,
Todd Haley,KAN,16,4,12,0,45,19,26,0,45,19,26,0,0,0,0,1,0,1,1,0,1,
Tony Sparano,MIA,16,7,9,0,61,29,32,0,73,32,41,0,0,0,0,1,0,1,1,0,1,
Brad Childress,MIN,16,12,4,0,74,39,35,0,74,39,35,0,2,1,1,3,1,2,3,1,2,
Sean Payton,NOR,16,13,3,0,241,152,89,0,257,160,97,0,3,3,0,17,9,8,17,9,8,Super Bowl Champions
Bill Belichick,NWE,16,10,6,0,386,266,120,0,466,302,164,0,1,0,1,42,30,12,44,31,13,
Tom Coughlin,NYG,16,8,8,0,192,102,90,0,320,170,150,0,0,0,0,11,8,3,19,12,7,
Rex Ryan,NYJ,16,9,7,0,96,46,50,0,127,61,66,0,3,2,1,6,4,2,6,4,2,
Tom Cable,OAK,16,5,11,0,44,17,27,0,44,17,27,0,0,0,0,0,0,0,0,0,0,
Andy Reid,PHI,16,11,5,0,224,130,93,1,402,257,144,1,1,0,1,19,10,9,38,22,16,
Mike Tomlin,PIT,16,9,7,0,274,172,100,2,274,172,100,2,0,0,0,17,8,9,17,8,9,
Norv Turner,SDG,16,13,3,0,96,56,40,0,237,114,122,1,1,0,1,6,3,3,8,4,4,
Jim Mora,SEA,16,5,11,0,16,5,11,0,64,31,33,0,0,0,0,0,0,0,2,1,1,
Mike Singletary,SFO,16,8,8,0,40,18,22,0,40,18,22,0,0,0,0,0,0,0,0,0,0,
Steve Spagnuolo,STL,16,1,15,0,48,10,38,0,52,11,41,0,0,0,0,0,0,0,0,0,0,
Raheem Morris,TAM,16,3,13,0,48,17,31,0,59,21,38,0,0,0,0,0,0,0,0,0,0,
Jeff Fisher,TEN,16,8,8,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,
Jim Zorn,WAS,16,4,12,0,32,12,20,0,32,12,20,0,0,0,0,0,0,0,0,0,0,
