Tm,W▼,L,T,PD
Dallas Cowboys*,13,3,0,115
New York Giants+,11,5,0,26
Atlanta Falcons*,11,5,0,134
Green Bay Packers*,10,6,0,44
Seattle Seahawks*,10,5,1,62
Detroit Lions+,9,7,0,-12
Tampa Bay Buccaneers,9,7,0,-15
Washington Redskins,8,7,1,13
Minnesota Vikings,8,8,0,20
Philadelphia Eagles,7,9,0,36
New Orleans Saints,7,9,0,15
Arizona Cardinals,7,8,1,56
Carolina Panthers,6,10,0,-33
Los Angeles Rams,4,12,0,-170
Chicago Bears,3,13,0,-120
San Francisco 49ers,2,14,0,-171
