Tm,W▼,L,PD
,,,
New England Patriots*,14,2,110
Kansas City Chiefs*,13,3,152
Indianapolis Colts*,12,4,111
Tennessee Titans+,12,4,111
Miami Dolphins,10,6,50
Baltimore Ravens*,10,6,110
Denver Broncos+,10,6,80
Cincinnati Bengals,8,8,-38
Buffalo Bills,6,10,-36
New York Jets,6,10,-16
Pittsburgh Steelers,6,10,-27
Cleveland Browns,5,11,-68
Jacksonville Jaguars,5,11,-55
Houston Texans,5,11,-125
Oakland Raiders,4,12,-109
San Diego Chargers,4,12,-128
