Tm,W▼,L,PD
Atlanta Falcons*,13,3,126
Chicago Bears*,11,5,48
New Orleans Saints+,11,5,77
Philadelphia Eagles*,10,6,62
New York Giants,10,6,47
Green Bay Packers+,10,6,148
Tampa Bay Buccaneers,10,6,23
Seattle Seahawks*,7,9,-97
St. Louis Rams,7,9,-39
Dallas Cowboys,6,10,-42
Washington Redskins,6,10,-75
Detroit Lions,6,10,-7
Minnesota Vikings,6,10,-67
San Francisco 49ers,6,10,-41
Arizona Cardinals,5,11,-145
Carolina Panthers,2,14,-212
