Tm,W▼,L,T,PD
Green Bay Packers*,13,4,0,79
Tampa Bay Buccaneers*,13,4,0,158
Dallas Cowboys*,12,5,0,172
Los Angeles Rams*,12,5,0,88
Arizona Cardinals+,11,6,0,83
San Francisco 49ers+,10,7,0,62
Philadelphia Eagles+,9,8,0,59
New Orleans Saints,9,8,0,29
Minnesota Vikings,8,9,0,-1
Washington Football Team,7,10,0,-99
Atlanta Falcons,7,10,0,-146
Seattle Seahawks,7,10,0,29
Chicago Bears,6,11,0,-96
Carolina Panthers,5,12,0,-100
New York Giants,4,13,0,-158
Detroit Lions,3,13,1,-142
