Tm,W▼,L,PD
,,,
Seattle Seahawks*,13,3,181
New York Giants*,11,5,108
Chicago Bears*,11,5,58
Tampa Bay Buccaneers*,11,5,26
Carolina Panthers+,11,5,132
Washington Redskins+,10,6,66
Dallas Cowboys,9,7,17
Minnesota Vikings,9,7,-38
Atlanta Falcons,8,8,10
Philadelphia Eagles,6,10,-78
St. Louis Rams,6,10,-66
Detroit Lions,5,11,-91
Arizona Cardinals,5,11,-76
Green Bay Packers,4,12,-46
San Francisco 49ers,4,12,-189
New Orleans Saints,3,13,-163
