Tm,W▼,L,PD
,,,
New York Giants*,12,4,82
Philadelphia Eagles+,11,5,106
Minnesota Vikings*,11,5,26
Tampa Bay Buccaneers+,10,6,119
New Orleans Saints*,10,6,49
St. Louis Rams+,10,6,69
Green Bay Packers,9,7,30
Detroit Lions,9,7,0
Washington Redskins,8,8,12
Carolina Panthers,7,9,0
San Francisco 49ers,6,10,-34
Dallas Cowboys,5,11,-67
Chicago Bears,5,11,-139
Atlanta Falcons,4,12,-161
Arizona Cardinals,3,13,-233
