Tm,W▼,L,PD
,,,
Philadelphia Eagles*,12,4,87
St. Louis Rams*,12,4,119
Carolina Panthers*,11,5,21
Dallas Cowboys+,10,6,29
Green Bay Packers*,10,6,135
Seattle Seahawks+,10,6,77
Minnesota Vikings,9,7,63
New Orleans Saints,8,8,14
Chicago Bears,7,9,-63
Tampa Bay Buccaneers,7,9,37
San Francisco 49ers,7,9,47
Washington Redskins,5,11,-85
Detroit Lions,5,11,-109
Atlanta Falcons,5,11,-123
New York Giants,4,12,-144
Arizona Cardinals,4,12,-227
