Tm,W▼,L,T,PD
Seattle Seahawks*,13,3,0,186
Carolina Panthers*,12,4,0,125
San Francisco 49ers+,12,4,0,134
New Orleans Saints+,11,5,0,110
Philadelphia Eagles*,10,6,0,60
Arizona Cardinals,10,6,0,55
Dallas Cowboys,8,8,0,7
Green Bay Packers*,8,7,1,-11
Chicago Bears,8,8,0,-33
New York Giants,7,9,0,-89
Detroit Lions,7,9,0,19
St. Louis Rams,7,9,0,-16
Minnesota Vikings,5,10,1,-89
Atlanta Falcons,4,12,0,-90
Tampa Bay Buccaneers,4,12,0,-101
Washington Redskins,3,13,0,-144
