,,2016 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Bruce Arians,ARI,16,7,8,1,80,49,30,1,129,80,48,1,,,,3,1,2,9,6,3,
Dan Quinn,ATL,16,11,5,0,85,43,42,0,85,43,42,0,3,2,1,5,3,2,5,3,2,NFC Champions
John Harbaugh,BAL,16,8,8,0,258,160,98,0,258,160,98,0,,,,20,11,9,20,11,9,
Anthony Lynn,BUF,1,0,1,0,1,0,1,0,65,33,32,0,0,0,0,0,0,0,2,1,1,Promoted to Head Coach after Week 16
Rex Ryan,BUF,15,7,8,0,31,15,16,0,127,61,66,0,0,0,0,0,0,0,6,4,2,Fired after Week 16
Ron Rivera,CAR,16,6,10,0,140,76,63,1,206,102,102,2,,,,7,3,4,8,3,5,
John Fox,CHI,16,3,13,0,48,14,34,0,256,133,123,0,,,,,,,15,8,7,
Marvin Lewis,CIN,16,6,9,1,256,131,122,3,256,131,122,3,,,,7,0,7,7,0,7,
Hue Jackson,CLE,16,1,15,0,40,3,36,1,56,11,44,1,,,,,,,0,0,0,
Jason Garrett,DAL,16,13,3,0,152,85,67,0,152,85,67,0,1,0,1,5,2,3,5,2,3,
Gary Kubiak,DEN,16,9,7,0,32,21,11,0,157,82,75,0,,,,3,3,0,7,5,2,
Jim Caldwell,DET,16,9,7,0,64,36,28,0,112,62,50,0,1,0,1,2,0,2,6,2,4,
Mike McCarthy,GNB,16,10,6,0,204,125,77,2,270,166,102,2,3,2,1,18,10,8,21,11,10,
Bill O'Brien,HOU,16,9,7,0,100,52,48,0,100,52,48,0,2,1,1,6,2,4,6,2,4,
Chuck Pagano,IND,16,8,8,0,96,53,43,0,96,53,43,0,,,,6,3,3,6,3,3,
Gus Bradley,JAX,14,2,12,0,62,14,48,0,62,14,48,0,0,0,0,0,0,0,0,0,0,
Doug Marrone,JAX,2,1,1,0,66,23,43,0,98,38,60,0,,,,3,2,1,3,2,1,Hired after week 14
Andy Reid,KAN,16,12,4,0,178,127,51,0,402,257,144,1,1,0,1,19,12,7,38,22,16,
Jeff Fisher,LAR,13,4,9,0,77,31,45,1,339,173,165,1,0,0,0,0,0,0,11,5,6,Fired after Week 14
John Fassel,LAR,3,0,3,0,3,0,3,0,3,0,3,0,,,,,,,,,,Promoted to Head Coach after Week 14
Adam Gase,MIA,16,10,6,0,48,23,25,0,80,32,48,0,1,0,1,1,0,1,1,0,1,
Mike Zimmer,MIN,16,8,8,0,129,72,56,1,129,72,56,1,,,,5,2,3,5,2,3,
Sean Payton,NOR,16,7,9,0,241,152,89,0,257,160,97,0,,,,17,9,8,17,9,8,
Bill Belichick,NWE,16,14,2,0,386,266,120,0,466,302,164,0,3,3,0,42,30,12,44,31,13,Super Bowl Champions
Ben McAdoo,NYG,16,11,5,0,28,13,15,0,28,13,15,0,1,0,1,1,0,1,1,0,1,
Todd Bowles,NYJ,16,5,11,0,64,24,40,0,100,42,58,0,,,,,,,1,0,1,
Jack Del Rio,OAK,16,12,4,0,48,25,23,0,187,93,94,0,1,0,1,1,0,1,4,1,3,
Doug Pederson,PHI,16,7,9,0,80,42,37,1,113,60,52,1,,,,6,4,2,8,5,3,
Mike Tomlin,PIT,16,11,5,0,274,172,100,2,274,172,100,2,3,2,1,17,8,9,17,8,9,
Mike McCoy,SDG,16,5,11,0,64,27,37,0,64,27,37,0,,,,2,1,1,2,1,1,
Pete Carroll,SEA,16,10,5,1,226,136,89,1,290,169,120,1,2,1,1,19,10,9,22,11,11,
Chip Kelly,SFO,16,2,14,0,16,2,14,0,63,28,35,0,,,,,,,1,0,1,
Dirk Koetter,TAM,16,9,7,0,48,19,29,0,48,19,29,0,,,,,,,,,,
Mike Mularkey,TEN,16,9,7,0,41,20,21,0,89,36,53,0,,,,2,1,1,2,1,1,
Jay Gruden,WAS,16,8,7,1,85,35,49,1,85,35,49,1,,,,1,0,1,1,0,1,
