Tm,W▼,L,T,PD
Green Bay Packers*,13,3,0,140
New Orleans Saints*,12,4,0,145
Seattle Seahawks*,12,4,0,88
Tampa Bay Buccaneers+,11,5,0,137
Los Angeles Rams+,10,6,0,76
Chicago Bears+,8,8,0,2
Arizona Cardinals,8,8,0,43
Washington Football Team*,7,9,0,6
Minnesota Vikings,7,9,0,-45
New York Giants,6,10,0,-77
Dallas Cowboys,6,10,0,-78
San Francisco 49ers,6,10,0,-14
Detroit Lions,5,11,0,-142
Carolina Panthers,5,11,0,-52
Philadelphia Eagles,4,11,1,-84
Atlanta Falcons,4,12,0,-18
