Tm,W▼,L,PD
,,,
Green Bay Packers*,15,1,201
New Orleans Saints*,13,3,208
San Francisco 49ers*,13,3,151
Detroit Lions+,10,6,87
Atlanta Falcons+,10,6,52
New York Giants*,9,7,-6
Philadelphia Eagles,8,8,68
Dallas Cowboys,8,8,22
Chicago Bears,8,8,12
Arizona Cardinals,8,8,-36
Seattle Seahawks,7,9,6
Carolina Panthers,6,10,-23
Washington Redskins,5,11,-79
Tampa Bay Buccaneers,4,12,-207
Minnesota Vikings,3,13,-109
St. Louis Rams,2,14,-214
