Tm,W▼,L,T,PD
,,,,
Philadelphia Eagles*,12,4,0,174
Green Bay Packers*,12,4,0,70
Tampa Bay Buccaneers*,12,4,0,150
New York Giants+,10,6,0,41
San Francisco 49ers*,10,6,0,16
Atlanta Falcons+,9,6,1,88
New Orleans Saints,9,7,0,44
Washington Redskins,7,9,0,-58
Carolina Panthers,7,9,0,-44
St. Louis Rams,7,9,0,-53
Seattle Seahawks,7,9,0,-14
Minnesota Vikings,6,10,0,-52
Dallas Cowboys,5,11,0,-112
Arizona Cardinals,5,11,0,-155
Chicago Bears,4,12,0,-98
Detroit Lions,3,13,0,-145
