Tm,W▼,L,PD
,,,
New England Patriots*,13,3,171
Baltimore Ravens*,12,4,112
Pittsburgh Steelers+,12,4,98
Houston Texans*,10,6,103
Cincinnati Bengals+,9,7,21
Tennessee Titans,9,7,8
New York Jets,8,8,14
Denver Broncos*,8,8,-81
San Diego Chargers,8,8,29
Oakland Raiders,8,8,-74
Kansas City Chiefs,7,9,-126
Miami Dolphins,6,10,16
Buffalo Bills,6,10,-62
Jacksonville Jaguars,5,11,-86
Cleveland Browns,4,12,-89
Indianapolis Colts,2,14,-187
