Tm,W▼,L,PD
New England Patriots*,13,3,162
Pittsburgh Steelers*,13,3,98
Kansas City Chiefs*,10,6,76
Jacksonville Jaguars*,10,6,149
Baltimore Ravens,9,7,92
Los Angeles Chargers,9,7,83
Tennessee Titans+,9,7,-22
Buffalo Bills+,9,7,-57
Cincinnati Bengals,7,9,-59
Oakland Raiders,6,10,-72
Miami Dolphins,6,10,-112
New York Jets,5,11,-84
Denver Broncos,5,11,-93
Houston Texans,4,12,-98
Indianapolis Colts,4,12,-141
Cleveland Browns,0,16,-176
