Tm,W▼,L,T,PD
Atlanta Falcons*,13,3,0,120
Green Bay Packers*,11,5,0,97
San Francisco 49ers*,11,4,1,124
Seattle Seahawks+,11,5,0,167
Washington Redskins*,10,6,0,48
Minnesota Vikings+,10,6,0,31
Chicago Bears,10,6,0,98
New York Giants,9,7,0,85
Dallas Cowboys,8,8,0,-24
Carolina Panthers,7,9,0,-6
New Orleans Saints,7,9,0,7
Tampa Bay Buccaneers,7,9,0,-5
St. Louis Rams,7,8,1,-49
Arizona Cardinals,5,11,0,-107
Philadelphia Eagles,4,12,0,-164
Detroit Lions,4,12,0,-65
