Tm,W▼,L,T,PD
,,,,
New York Giants*,12,4,0,133
Carolina Panthers*,12,4,0,85
Atlanta Falcons+,11,5,0,66
Minnesota Vikings*,10,6,0,46
Philadelphia Eagles+,9,6,1,127
Dallas Cowboys,9,7,0,-3
Chicago Bears,9,7,0,25
Tampa Bay Buccaneers,9,7,0,38
Arizona Cardinals*,9,7,0,1
Washington Redskins,8,8,0,-31
New Orleans Saints,8,8,0,70
San Francisco 49ers,7,9,0,-42
Green Bay Packers,6,10,0,39
Seattle Seahawks,4,12,0,-98
St. Louis Rams,2,14,0,-233
Detroit Lions,0,16,0,-249
